(Contribution||has||Results)
(Results||in||Biomedical Domain)
(Biomedical Domain||achieves||new SOTA results)
(new SOTA results||on||BC5CDR and ChemProt (Lee et al., 2019))
(new SOTA results||on||EBMNLP (Nye et al., 2018))
(Biomedical Domain||on||biomedical tasks)
(biomedical tasks||outperforms||SciBERT outperforms BERT-Base)
(SciBERT outperforms BERT-Base||with finetuning||+1.92 F1)
(SciBERT outperforms BERT-Base||without||+3.59 F1)
(Biomedical Domain||outperforms||BioBERT results)
(BioBERT results||on||BC5CDR and ChemProt)
(BioBERT results||on||JNLPBA)
(Results||in||Computer Science Domain)
(Computer Science Domain||achieves||new SOTA results)
(new SOTA results||on||ACL-ARC (Cohan et al., 2019))
(new SOTA results||on||NER part of SciERC (Luan et al., 2018))
(Computer Science Domain||on||computer science tasks)
(computer science tasks||outperforms||Bert-Base)
(Bert-Base||with finetuning||+3.55 F1)
(Bert-Base||without||+1.13 F1)
(Results||in||Multiple Domains)
(Multiple Domains||on||multidomain tasks)
(multidomain tasks||outperforms||BERT-Base)
(BERT-Base||with finetuning||+0.49 F1)
(BERT-Base||without||+0.93 F1)
(Multiple Domains||outperforms||SOTA)
(SOTA||on||SciCite (Cohan et al., 2019))
(Results||on||scientific tasks)
(scientific tasks||outperforms||SciBERT outperforms BERT-Base)
(SciBERT outperforms BERT-Base||with finetuning||+2.11 F1)
(SciBERT outperforms BERT-Base||without||+2.43 F1)
